Kode Kamar,Tipe,Kapasitas,Lantai,Fasilitas,Harga,Status
"DLX-301","Deluxe","2","3","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-302","Deluxe","2","3","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","terisi"
"DLX-303","Deluxe","2","3","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-304","Deluxe","2","3","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","perbaikan"
"DLX-305","Deluxe","2","3","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","terisi"
"DLX-306","Deluxe","2","3","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-307","Deluxe","2","3","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-308","Deluxe","2","3","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","terisi"
"DLX-309","Deluxe","2","3","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-310","Deluxe","2","3","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-401","Deluxe","2","4","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-402","Deluxe","2","4","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-403","Deluxe","2","4","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","terisi"
"DLX-404","Deluxe","2","4","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-405","Deluxe","2","4","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","perbaikan"
"DLX-406","Deluxe","2","4","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-407","Deluxe","2","4","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","terisi"
"DLX-408","Deluxe","2","4","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-409","Deluxe","2","4","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","tersedia"
"DLX-410","Deluxe","2","4","AC, Smart TV 50-inch, King Bed, City View, Free Minibar, Meja Kerja, Bathtub","Rp 950.000","terisi"
"STD-101","Standar","2","1","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-102","Standar","2","1","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","terisi"
"STD-103","Standar","2","1","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-104","Standar","2","1","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","perbaikan"
"STD-105","Standar","2","1","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-106","Standar","2","1","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","terisi"
"STD-107","Standar","2","1","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-108","Standar","2","1","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-109","Standar","2","1","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","terisi"
"STD-110","Standar","2","1","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-201","Standar","2","2","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-202","Standar","2","2","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-203","Standar","2","2","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","terisi"
"STD-204","Standar","2","2","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-205","Standar","2","2","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","perbaikan"
"STD-206","Standar","2","2","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-207","Standar","2","2","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","terisi"
"STD-208","Standar","2","2","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-209","Standar","2","2","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","tersedia"
"STD-210","Standar","2","2","AC, Smart TV 32-inch, Queen Bed, Free WiFi, Kamar Mandi Dalam, Air Panas","Rp 450.000","terisi"
"STE-501","Suite","4","5","Private Jacuzzi, Kasur Super King Premium, Smart TV 85-inch Premium Sound (Terkoneksi library musik Barat, J-Pop, Anime OST, K-Pop, Indonesia), Minibar Sehat Bebas Gula/Kopi/Matcha (Restock Harian: Tropicana Slim Collagen Shot, Lactasoy Soy Milk Collagen, Collagena Susu Steril, Minuman Serbuk Ele), Layanan Butler 24 Jam","Rp 3.500.000","tersedia"
"STE-502","Suite","4","5","Private Jacuzzi, Kasur Super King Premium, Smart TV 85-inch Premium Sound (Terkoneksi library musik Barat, J-Pop, Anime OST, K-Pop, Indonesia), Minibar Sehat Bebas Gula/Kopi/Matcha (Restock Harian: Tropicana Slim Collagen Shot, Lactasoy Soy Milk Collagen, Collagena Susu Steril, Minuman Serbuk Ele), Layanan Butler 24 Jam","Rp 3.500.000","terisi"
"STE-503","Suite","4","5","Private Jacuzzi, Kasur Super King Premium, Smart TV 85-inch Premium Sound (Terkoneksi library musik Barat, J-Pop, Anime OST, K-Pop, Indonesia), Minibar Sehat Bebas Gula/Kopi/Matcha (Restock Harian: Tropicana Slim Collagen Shot, Lactasoy Soy Milk Collagen, Collagena Susu Steril, Minuman Serbuk Ele), Layanan Butler 24 Jam","Rp 3.500.000","tersedia"
"STE-504","Suite","4","5","Private Jacuzzi, Kasur Super King Premium, Smart TV 85-inch Premium Sound (Terkoneksi library musik Barat, J-Pop, Anime OST, K-Pop, Indonesia), Minibar Sehat Bebas Gula/Kopi/Matcha (Restock Harian: Tropicana Slim Collagen Shot, Lactasoy Soy Milk Collagen, Collagena Susu Steril, Minuman Serbuk Ele), Layanan Butler 24 Jam","Rp 3.500.000","perbaikan"
